"td","td 2","td 3","td 4","td 5","td 6","td 11","td 12","td href"
"11","FL6284OT","Ôn tập Tiếng Trung cơ bản 3","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6957"
"12","FL6285OT","Ôn tập Tiếng Trung cơ bản 4","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6958"
"13","FL6287OT","Ôn tập Tiếng Hàn cơ bản 1","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6960"
"14","FL6288OT","Ôn tập Tiếng Hàn cơ bản 2","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6961"
"15","FL6289OT","Ôn tập Tiếng Hàn cơ bản 3","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6962"
"16","FL6290OT","Ôn tập Tiếng Hàn cơ bản 4","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6963"
"17","FL6292OT","Ôn tập Tiếng Nhật cơ bản 1","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6965"
"18","FL6293OT","Ôn tập Tiếng Nhật cơ bản 2","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6966"
"19","FL6294OT","Ôn tập Tiếng Nhật cơ bản 3","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6967"
"20","FL6295OT","Ôn tập Tiếng Nhật cơ bản 4","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6968"
"21","BS6019","Nhập môn nghiên cứu khoa học","2.0","2.00","0.00","11","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7202"
"22","BS6020","Quan hệ lao động và việc làm","2.0","2.00","0.00","0","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7203"
"23","BS6021","Con người và môi trường","2.0","2.00","0.00","2","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7204"
"24","BM6091","Quản lý dự án","2.0","2.00","0.00","17","(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7239"
"25","PE6001","Aerobic 1","1.0","0.00","1.00","6","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4811"
"26","PE6003","Bóng chuyền 1","1.0","0.00","1.00","30","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4813"
"27","PE6005","Bơi 1","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4815"
"28","PE6011","Karate 1","1.0","0.00","1.00","4","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4821"
"29","PE6013","Khiêu vũ 1","1.0","0.00","1.00","3","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4823"
"30","PE6015","Pencak Silat 1","1.0","0.00","1.00","2","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4825"
"31","PE6017","Bóng bàn 1","1.0","0.00","1.00","26","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6422"
"32","PE6021","Bóng rổ 1","1.0","0.00","1.00","22","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6430"
"33","PE6025","Cầu lông 1","1.0","0.00","1.00","18","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6436"
"34","PE6019","Tennis 1","1.0","0.00","1.00","8","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6445"
"35","PE6027","Bóng đá 1","1.0","0.00","1.00","1","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6549"
"36","PE6029","Đá cầu 1","1.0","0.00","1.00","12","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6551"
"37","PE6031","Cầu mây 1","1.0","0.00","1.00","5","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6553"
"38","PE6033","Bóng ném 1","1.0","0.00","1.00","1","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7068"
"39","PE6035","Futsal 1","1.0","0.00","1.00","0","*(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=7070"
