"td","td 2","td 3","td 4","td 5","td 6","td 11","td 12","td href"
"1","FL6085","Tiếng Anh Công nghệ thông tin cơ bản 1","5.0","2.67","0.00","34","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=4924"
"2","FL6085OT","Ôn tập Tiếng Anh Công nghệ thông tin cơ bản 1","3.0","1.00","0.00","2","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6635"
"3","FL6086OT","Ôn tập Tiếng Anh công nghệ thông tin cơ bản 2","3.0","1.00","0.00","3","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6636"
"4","FL6087OT","Ôn tập Tiếng Anh Công nghệ thông tin cơ bản 3","3.0","1.00","0.00","4","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6637"
"5","FL6088OT","Ôn tập Tiếng Anh Công nghệ thông tin cơ bản 4","3.0","1.00","0.00","2","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6638"
"6","FL6282","Tiếng Trung cơ bản 1","5.0","2.67","0.00","14","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6826"
"7","FL6287","Tiếng Hàn cơ bản 1","5.0","2.67","0.00","7","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6831"
"8","FL6292","Tiếng Nhật cơ bản 1","5.0","2.67","0.00","7","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6836"
"9","FL6282OT","Ôn tập Tiếng Trung cơ bản 1","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6955"
"10","FL6283OT","Ôn tập Tiếng Trung cơ bản 2","3.0","1.00","0.00","0","**(Tự chọn)","https://sv.haui.edu.vn/training/viewcourseindustry2/xem-chi-tiet-hoc-phan.htm?id=6956"
